Unnamed: 0,season,firstName,lastName,position,origin,destination,positionType
1707,2022,Tyler,Owens,S,Texas,Texas Tech,Defense
1708,2022,Kamron,Forest,CB,Fresno State,,Defense
1709,2022,Owen,Hickey,WR,Illinois,,Offense
1710,2022,Waisale,Muavesi,DL,UNLV,UNLV,Defense
1711,2022,Adrian,Hope,LB,Furman,Coastal Carolina,Defense
1712,2022,Jordan,Boatman,OT,Houston,Sam Houston State,Offense
1713,2022,Trevion,Stevenson,LB,North Carolina,Norfolk State,Defense
1714,2022,Datrone,Young,CB,Iowa State,Duke,Defense
1715,2022,Darius,Gooden,CB,Rutgers,UMass,Defense
1716,2022,Derek,Smith,OT,Central Michigan,,Offense
1717,2022,Keveon,Mullins,TE,South Carolina,Jackson State,Offense
1718,2022,Jalen,Mackie,ILB,Dartmouth,UMass,Defense
1719,2022,Kolbe,Burrell,RB,Buffalo,Northwestern State,Offense
1720,2022,Camden,VerStrate,WR,Washington,,Offense
1721,2022,Jonathan,Denis,IOL,Oregon,Miami,Offense
1722,2022,Kym-Mani,King,CB,Iowa State,Florida A&M,Defense
1723,2022,Elijah,Jeffreys,ATH,Connecticut,,ATH
1724,2022,Zahodri,Jackson,CB,Utah State,North Texas,Defense
1725,2022,Lavonte,Gater,CB,Maryland,,Defense
1726,2022,Coran,Taylor,S,Illinois,Alabama A&M,Defense
1727,2022,Mohammed,Elazazy,OT,Western Michigan,,Offense
1728,2022,George,Qualls,WR,Akron,,Offense
1729,2022,Navy,Shuler,QB,Appalachian State,Tennessee,Offense
1730,2022,Odieu,Hilaire,WR,Alabama A&M,Bowling Green,Offense
1731,2022,Jett,Elad,S,Ohio,,Defense
1732,2022,Keelan,Cox,DL,Alabama,,Defense
1733,2022,Devin,Bush,CB,Arkansas,Grambling,Defense
1734,2022,Jarius,Reimonenq,CB,Arkansas State,James Madison,Defense
1735,2022,Sam,Carrell,DL,Washington State,Texas Tech,Defense
1736,2022,Malik,Hausman,CB,Arizona,,Defense
1737,2022,Miles,Frazier,OT,Florida International,LSU,Offense
1738,2022,Joseph,White,S,Virginia,,Defense
1739,2022,D.K.,Bonhomme,EDGE,Indiana,South Alabama,Defense
1740,2022,Cam,Bright,LB,Pittsburgh,Washington,Defense
1741,2022,Parker,Hanna,OT,West Texas A&M,Indiana,Offense
1742,2022,Raashaan,Wilkins,DL,Vanderbilt,Illinois,Defense
1743,2022,C'Bo,Flemister,RB,Notre Dame,Pittsburgh,Offense
1744,2022,Jake,Bobo,WR,Duke,UCLA,Offense
1745,2022,Martin,Laham,WR,UMass,Lehigh,Offense
1746,2022,Max,Banes,OT,Houston,Akron,Offense
1747,2022,Wayne,Jones,LB,Kansas State,Charlotte,Defense
1748,2022,James,Robinson,IOL,Tennessee,South Alabama,Offense
1749,2022,Aaron,Odom,EDGE,Mississippi State,Southern Mississippi,Defense
1750,2022,Nicktroy,Fortune,CB,West Virginia,UT San Antonio,Defense
1751,2022,Marvin,Martin,S,Kansas State,South Alabama,Defense
1752,2022,Kelvin,Johnson,ILB,South Alabama,,Defense
1753,2022,Elijah,Blades,CB,Florida,Buffalo,Defense
1754,2022,Isaiah,Connelly,RB,Coastal Carolina,,Offense
1755,2022,Joe,Foucha,S,Arkansas,LSU,Defense
1756,2022,Michael,Penix Jr.,QB,Indiana,Washington,Offense
1757,2022,Carson,Williams,TE,Buffalo,,Offense
1758,2022,Alexander,Duke,EDGE,Houston,,Defense
1759,2022,Brian,Casteel,WR,Arizona,Nevada,Offense
1760,2022,RJ,Rosales,QB,Army,,Offense
1761,2022,Johnny,Hodges,LB,Navy,TCU,Defense
1762,2022,Charlie,Bostic III,CB,San José State,,Defense
1763,2022,Jaxon,Player,DL,Tulsa,Baylor,Defense
1764,2022,Erin,Collins,RB,Northern Illinois,,Offense
1765,2022,Jason,Mercier,EDGE,Florida International,Jackson State,Defense
1766,2022,Miles,Dickens,EDGE,Georgia State,Northwestern State,Defense
1767,2022,Connor,Helsius,LB,UTEP,,Defense
1768,2022,Kemore,Gamble,TE,Florida,UCF,Offense
1769,2022,Prudy,Calderon,S,Rice,,Defense
1770,2022,Gavin,Hall,QB,Toledo,,Offense
1771,2022,Alex,Navarro-Silva,DL,Arizona,,Defense
1772,2022,Michel,Dukes,RB,Clemson,South Florida,Offense
1773,2022,Trey,Palmer,WR,LSU,Nebraska,Offense
1774,2022,Jaquon,Griffin,DL,Georgia Tech,,Defense
1775,2022,Keith,Harris,CB,Utah State,,Defense
1776,2022,Mekhi,Miller,CB,Miami (OH),New Mexico State,Defense
1777,2022,Kaegun,Williams,RB,San Diego State,,Offense
1778,2022,Kevin,Toth Jr.,OT,Rutgers,Kent State,Offense
1779,2022,Tyrone,Taleni,DL,Kansas State,USC,Defense
1780,2022,Taylor,Behl,LB,Louisiana Monroe,,Defense
1781,2022,Nick,Roberts,S,Louisiana Monroe,SMU,Defense
1782,2022,Joseph,Bissinger,OT,Virginia,SMU,Offense
1783,2022,Alan,Ali,IOL,SMU,TCU,Offense
1784,2022,Jacob,Isaia,IOL,Michigan State,Fresno State,Offense
1785,2022,Cammon,Cooper,QB,Washington State,Hawai'i,Offense
1786,2022,Al'vonte,Woodard,WR,Texas,Sam Houston State,Offense
1787,2022,Cauren,Lynch,RB,Toledo,,Offense
1788,2022,Koy,Moore,WR,LSU,Auburn,Offense
1789,2022,Charlie,Brewer,QB,Utah,Liberty,Offense
1790,2022,Caleb,Johnson,EDGE,Auburn,,Defense
1791,2022,Gary,Smith,DL,Duke,UCLA,Defense
1792,2022,Carter,Boatwright,TE,Florida State,Florida Atlantic,Offense
1793,2022,Chris,King,EDGE,Buffalo,,Defense
1794,2022,Dashaun,Jerkins,S,Vanderbilt,Ole Miss,Defense
1795,2022,EJ,Ane,EDGE,San José State,Portland State,Defense
1796,2022,Nicholas,Nakwaasah,S,Central Arkansas,North Texas,Defense
1797,2022,Seth,Hayes,WR,Arkansas State,,Offense
1798,2022,Adam,Stack,K,Hawai'i,,Special
1799,2022,Marquez,Ezzard,WR,Georgia Tech,,Offense
1800,2022,Trevor,Bycznski,PRO,Buffalo,Ashland,Offense
1801,2022,Zach,Williams,WR,Arizona,,Offense
1802,2022,Dre,Butler,DL,Auburn,Liberty,Defense
1803,2022,Dylan,Mayginnes,IOL,Washington State,Montana,Offense
1804,2022,Wyatt,Walton,IOL,Ohio,,Offense
1805,2022,Chase,Atkinson,CB,Syracuse,,Defense
1806,2022,Jamin,Graham,LB,Nebraska,,Defense
1807,2022,Laiatu,Latu,EDGE,Washington,UCLA,Defense
1808,2022,Trey,Benson,RB,Oregon,Florida State,Offense
1809,2022,Khalid,Martin,S,NC State,,Defense
1810,2022,Xavier,Hinkle,CB,New Mexico State,,Defense
1811,2022,Aaron,Boumerhi,K,Boston College,,Special
1812,2022,Jermaine,Hamilton-Jordan,S,Arkansas,,Defense
1813,2022,Lawrence,Keys III,WR,Notre Dame,Tulane,Offense
1814,2022,Dave,Monnot III,OT,Purdue,,Offense
1815,2022,Dreyden,Norwood,CB,Texas A&M,Missouri,Defense
1816,2022,Jimmy,Fritzsche,IOL,Nebraska,,Offense
1817,2022,Thomas,Joe-Kamara,LB,Temple,Monmouth,Defense
1818,2022,Geordon,Porter,WR,Arizona State,New Mexico,Offense
1819,2022,Jake,Marion,K,Georgia State,Elon,Special
1820,2022,James,Faminu,OT,Houston,Temple,Offense
1821,2022,Tim,Horn,K,Washington,Rice,Special
1822,2022,RaJae,Johnson,WR,UAB,Troy,Offense
1823,2022,Tylus,Hancock,CB,Florida State,,Defense
1824,2022,Champ,Flemings,WR,Oregon State,Arkansas State,Offense
1825,2022,William,Racely,IOL,Eastern Michigan,,Offense
1826,2022,David,Watson,OT,Arizona,,Offense
1827,2022,Grady,Robison,QB,Western Kentucky,,Offense
1828,2022,Isaiah,Norman,S,Austin Peay,Marshall,Defense
1829,2022,Jaren,Banks,LB,Rice,,Defense
1830,2022,Joey,Hobert,WR,Washington State,Utah Tech,Offense
1831,2022,Miles,Fallin,QB,Kansas,,Offense
1832,2022,Ashaad,Clayton,RB,Colorado,Tulane,Offense
1833,2022,Enock,Makonzo,S,Coastal Carolina,Professional,Defense
1834,2022,Todd,Sibley,RB,Pittsburgh,Albany,Offense
1835,2022,Giovanni,Iovino,LB,Washington State,,Defense
1836,2022,Michael,Shanahan,OT,UT Martin,Texas Tech,Offense
1837,2022,Cameron,Wiley,RB,Minnesota,Akron,Offense
1838,2022,KD,McDaniel,LB,Kentucky,UCF,Defense
1839,2022,Taishan,Holmes,DL,UMass,Northwestern,Defense
1840,2022,Jared,Sackett,K,South Florida,UT San Antonio,Special
1841,2022,Bru,McCoy,WR,USC,Tennessee,Offense
1842,2022,Austin,Henderson,TE,Minnesota,Liberty,Offense
1843,2022,Tillman,Weaver,DL,Ohio,,Defense
1844,2022,Cade,Cadam,WR,Arizona State,,Offense
1845,2022,Dillon,Thomas,CB,Northern Illinois,,Defense
1846,2022,Miles,Banks,WR,UTEP,,Offense
1847,2022,Darryl,Jones,WR,Maryland,NC State,Offense
1848,2022,AJ,Snow,QB,Air Force,,Offense
1849,2022,Kane,Patterson,LB,Clemson,Vanderbilt,Defense
1850,2022,Cross,Patton,RB,Oregon,Nevada,Offense
1851,2022,Corbet,Mims,DL,Arkansas State,Memphis,Defense
1852,2022,Gabe,Brown,IOL,Bowling Green,Grand Valley State,Offense
1853,2022,Kyle,Vantrease,QB,Buffalo,Georgia Southern,Offense
1854,2022,Josiah,Miamen,TE,Iowa,Florida International,Offense
1855,2022,Jamal,Camp,IOL,Georgia Tech,The Citadel,Offense
1856,2022,Mark,Redman,TE,Washington,San Diego State,Offense
1857,2022,Lamar,Mullins,S,Georgia State,Florida A&M,Defense
1858,2022,Joey,Gatewood,QB,Kentucky,UCF,Offense
1859,2022,Tyrone,Truesdell,DL,Auburn,Florida,Defense
1860,2022,Jafar,Armstrong,WR,Illinois,Western Illinois,Offense
1861,2022,Peyton,Powell,S,Rutgers,Cisco College,Defense
1862,2022,Jacob,Gardner,OT,Nevada,Colorado State,Offense
1863,2022,Ishmael,Sopsher,DL,USC,Southwest Mississippi C.C.,Defense
