firstName|lastName|positionType|origin|destination
Jordan|Rhodes|Offense|Ole Miss|Arkansas State
Keitha|Jones|Offense|Tulane|
Dekalen|Goodson|Offense|Houston|
Javin|Burke|Defense|Virginia|
Ryan|Stapp|Defense|Abilene Christian|Minnesota
Zion|Childress|Defense|Texas State|Kentucky
Soni|Fonua|Defense|LSU|
Parker|Hughes|ATH|Middle Tennessee|
Brenden|Rice|Offense|Colorado|USC
Jarvis|Brownlee Jr.|Defense|Florida State|Louisville
Brock|Annexstad|Offense|Minnesota|
Evan|Tattersall|Defense|California|
Myles|Baker|Defense|Coastal Carolina|
Quinton|Lee|Defense|Arkansas State|
Evan|Henry|OG|Louisiana Monroe|Jackson State
Nusi|Malani|Defense|Virginia|Washington State
Jonah|Miller|Offense|Oregon|
Brian|Holloway|Defense|SMU|
Drayton|Charlton-Perrin|Offense|Ball State|
Peace|Addo|Offense|Duke|Temple
Gavin|Blunt|Offense|Akron|
Mason|Jolley|Defense|SMU|
Naquan|Reynolds|Defense|Marshall|
Trelon|Smith|Offense|Arkansas|UT San Antonio
Azizi|Hearn|Defense|Wyoming|UCLA
Cordarrius|Bailey|Defense|Iowa State|Northern Iowa
David|Reynolds|Defense|Florida International|
Omni|Wells|Offense|Mississippi State|South Alabama
Jamal|Bell|Offense|Louisiana|Louisiana
TJ|Session|Offense|Montana State|California
Carlos|Sandy|Offense|Illinois|
Eli'jah|Winston|Defense|USC|Nevada
K'Vaughan|Pope|Defense|Ohio State|
Willie|Tyler|Offense|Louisiana Monroe|Rutgers
Spencer|Curtis|Offense|Oregon|Nevada
Josh|White|Defense|LSU|Baylor
Jaelyn|Lay|Offense|Clemson|Alabama State
Kamryn|Waites|Offense|Louisiana|Florida
Will|Wallace|Offense|Tulane|
Troy|Brown|Defense|Central Michigan|Ole Miss
Tyriq|Hardimon|Defense|Wake Forest|
Gerrik|Vollmer|Offense|Old Dominion|
Kaine|Williams|Defense|Alabama|Nebraska
Henry|Parrish|Offense|Ole Miss|Miami
Jed|Castles|Offense|Texas Tech|Abilene Christian
Emery|Simmons|Offense|North Carolina|Indiana
Iesa|Jarmon|Defense|Cincinnati|Buffalo
Bobby|Holmes|Defense|Louisiana|
Troy|dela Vega|Offense|Utah State|
Sam|Pinckney|Offense|Georgia State|Coastal Carolina
Isaiah|Wright|Offense|Rutgers|Buffalo
Tai|Marks|Offense|Colorado State|
Jabari|Parker|Defense|Virginia Tech|
Jake|Bailey|Offense|Rice|SMU
Caylin|Newton|Offense|Auburn|
Brian|Ugwu|Defense|Rutgers|
Daylen|Gill|Defense|Ole Miss|Southern Mississippi
Zack|Merrill|Offense|Indiana|
RJ|Sneed|Offense|Baylor|Colorado
Quan|Easterling|ATH|Wisconsin|Duquesne
Emory|Jones|Offense|Florida|Arizona State
Hugh|Davis|Defense|Boston College|Louisiana Tech
Josh|Chandler|Defense|West Virginia|Colorado
Darius|Joiner|Defense|Western Illinois|Duke
Tyree|O'Neil|Offense|Buffalo|
Tyler|Steen|Offense|Vanderbilt|Alabama
Dalevon|Campbell|Offense|Illinois|Nevada
Jack|Burns|Offense|Cornell|Duke
Gary|Hoover|Offense|Ohio|
